Customer ID,Recency,Frequency,Monetary,Cluster,Segment,CLV,predicted_avg_value
12346,321,12,77556.46,3,Champions,5993.409865806574,11084.792454415106
12347,35,7,5408.5,3,Champions,992.3547870517937,802.8364890406409
12348,71,5,2019.4,2,At-Risk,359.9424589635705,453.41283228343667
12349,14,4,4428.69,3,Champions,546.3593045656825,1127.8675349854939
12350,305,1,334.4,0,Lost / Hibernating,,
12351,370,1,300.93,0,Lost / Hibernating,,
12352,31,10,2849.84,3,Champions,562.7866754705972,340.1652985409986
12353,199,2,406.76,0,Lost / Hibernating,27.56254129201879,101.75041788486733
12354,228,1,1079.4,0,Lost / Hibernating,,
12355,209,2,947.61,2,At-Risk,99.31283114303983,476.04695716504807
12356,18,6,6373.68,3,Champions,1108.1622261480527,1097.270816787923
12357,28,3,18287.66,3,Champions,1921.6184596821827,6284.787691096162
12358,146,4,3203.87,2,At-Risk,232.10194149643354,597.3164697257563
12359,53,10,8935.94,3,Champions,960.0237495629705,910.7135518706684
12360,47,8,4252.89,3,Champions,549.6089883622119,593.2510123637575
12361,282,4,511.25,2,At-Risk,52.93519451206767,138.39396272714478
12362,31,10,4827.19,3,Champions,551.561594639875,523.8149151044215
12363,105,2,552.0,0,Lost / Hibernating,114.94009459727988,267.37461547671836
12364,3,4,1313.1,1,New / Promising,424.9036978192785,234.4372425138133
12365,286,2,641.38,0,Lost / Hibernating,,
12366,629,1,500.24,0,Lost / Hibernating,,
12368,623,1,917.6999999999999,0,Lost / Hibernating,,
12369,409,3,1791.15,2,At-Risk,181.14610190177515,731.0658903886908
12370,46,7,4320.31,3,Champions,506.41270135960315,755.380981634581
12371,40,5,4067.38,2,At-Risk,516.1257869866977,1161.1597288947585
12372,67,3,1298.04,2,At-Risk,283.7696450822355,457.6376554050423
12373,307,3,1127.65,2,At-Risk,98.61450764428598,352.55568799997366
12374,20,4,2989.2200000000003,1,New / Promising,282.77192037573235,810.403856404332
12375,6,2,457.5,1,New / Promising,208.08197679913917,241.40425624480523
12376,385,2,503.15,0,Lost / Hibernating,13.102202905452803,83.15685329859485
12377,310,4,3426.32,2,At-Risk,294.56183642845,744.9353888057985
12378,125,2,5416.32,2,At-Risk,879.2382957382108,4062.604093082983
